drug,cell_line,split,ipf_reversal_score,gene_reversal_score,delta_mean,delta_std,mechanism,ipf_relevance,rationale
SRT3025 HCl,K562,test,0.01590246930729025,-0.07260997593402863,0.07260997593402863,0.12378154695034027,SIRT1 activator,1,SIRT1 attenuates TGFb-induced fibrosis. Emerging antifibrotic target.
SRT3025 HCl,MCF7,test,0.015832996785856458,-0.074082151055336,0.074082151055336,0.13802792131900787,SIRT1 activator,1,SIRT1 attenuates TGFb-induced fibrosis. Emerging antifibrotic target.
Thalidomide,A549,test,0.015792283548057024,-0.054386794567108154,0.054386794567108154,0.11102607846260071,"Immunomodulatory (anti-TNFa, anti-TGFb)",1,Reduces TGFb1 and TNFa. Case reports for IPF-related cough.
Thalidomide,K562,test,0.015868280207363743,-0.07143271714448929,0.07143271714448929,0.12445290386676788,"Immunomodulatory (anti-TNFa, anti-TGFb)",1,Reduces TGFb1 and TNFa. Case reports for IPF-related cough.
Thalidomide,MCF7,test,0.01579652448944665,-0.07419347018003464,0.07419347018003464,0.14034849405288696,"Immunomodulatory (anti-TNFa, anti-TGFb)",1,Reduces TGFb1 and TNFa. Case reports for IPF-related cough.
Tofacitinib (CP-690550) Citrate,A549,test,0.015802036755465862,-0.0595991425216198,0.0595991425216198,0.11077646911144257,JAK1/3 inhibitor,2,Pan-JAK inhibition attenuates bleomycin-induced pulmonary fibrosis. Phase II trial in IPF.
Tofacitinib (CP-690550) Citrate,K562,test,0.015865481857991692,-0.07268723100423813,0.07268723100423813,0.12457109987735748,JAK1/3 inhibitor,2,Pan-JAK inhibition attenuates bleomycin-induced pulmonary fibrosis. Phase II trial in IPF.
Tofacitinib (CP-690550) Citrate,MCF7,test,0.015798521760614744,-0.07511941343545914,0.07511941343545914,0.140981525182724,JAK1/3 inhibitor,2,Pan-JAK inhibition attenuates bleomycin-induced pulmonary fibrosis. Phase II trial in IPF.
Zileuton,A549,test,0.01583076807526509,-0.05805903673171997,0.05805903673171997,0.10352298617362976,5-lipoxygenase inhibitor,1,Leukotrienes promote fibrosis; 5-LO inhibition is antifibrotic in mouse models.
Zileuton,K562,test,0.015882840601237482,-0.07271029055118561,0.07271029055118561,0.1248043030500412,5-lipoxygenase inhibitor,1,Leukotrienes promote fibrosis; 5-LO inhibition is antifibrotic in mouse models.
Zileuton,MCF7,test,0.015803383708528403,-0.07259377092123032,0.07259377092123032,0.13541138172149658,5-lipoxygenase inhibitor,1,Leukotrienes promote fibrosis; 5-LO inhibition is antifibrotic in mouse models.
